NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
2,10059E+11;2023;8;M;1;3;1;1;5;1;;0;;;;;;;;2408102;Natal;24;RN;1;1;1;1;1221;1193;1204;1211;644.9;620.2;626.9;736.3;DBEEBDBBACDCABADCDAACECDBBDECDADBBECDCDDCEAAD;ACEEADAABCBAABEDBCDAECDCDBCBDAEEBDECAADDDCDDE;DBABCCABDECDCDAACADBBDBCBBACCCEEAECBBEBBACAED;BCDDCEEBCDBDAECBAEDDABDDEEDBDECADDACCEECEAACC;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;140;200;160;160;200;860;F;C;D;B;4;B;A;C;C;A;A;B;A;B;A;B;A;B;B;A;A;E;A;B;B
2,10061E+11;2023;3;M;1;3;4;2;0;2;1;0;4128005;Ubiratã;41;PR;2;1;1;4128005;Ubiratã;41;PR;1;1;1;1;1224;1192;1202;1214;608.2;667.6;607.9;691.9;CDDCAEACCDBECDDEEDCBACCCDDBBACCB.EACCBABDEEDE;DBAADEADBDCCBDBCEDEBBCADAEDABCACECDAECBAAABCA;BBBDACBEEEDBACEBECABCACCAAABCBBEBCCEDDBACDDAC;EBDBCDAEBEBACDBDEBABEEBCBDECCCCDCDCBEEDAABBDD;0;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;1;140;180;120;160;180;780;D;E;A;B;5;D;A;B;B;B;A;B;A;B;A;A;A;A;B;A;A;B;A;B;B
2,1006E+11;2023;6;M;1;3;1;2;0;2;1;0;2910800;Feira de Santana;29;BA;2;1;1;2910800;Feira de Santana;29;BA;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;B;B;3;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;D;A;B;B
2,1006E+11;2023;3;F;1;1;1;1;1;1;;0;;;;;;;;3550308;São Paulo;35;SP;1;1;1;1;1223;1194;1203;1213;626.5;604.9;614.3;548.8;CBDAAAECECCEBACDCAEABDBCAECDDACADEAECACDBEBBC;ABCCCBBACDADACEBAADADAEEBBBEBCEBCDCCDBDCDAAAE;DDBBADAEBBBEAACAABBAACBBABCBEDEAADBDBEBDDACBC;EBDDEAAABDDCBCECBDAEBADDBBCAACBCDCABDCABDDBEE;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;140;200;160;180;120;800;E;E;B;B;3;C;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;C;A;B;B
2,10059E+11;2023;11;F;1;2;1;1;7;1;;0;;;;;;;;2611606;Recife;26;PE;1;1;1;1;1221;1193;1204;1211;547.2;623.3;593.7;404.6;DBEEBDBDCBACDEBCEBBBCEBEAABCCDBEBACBDCADBCAAB;ACEBAAECDCDAADEABCAABCCCCBCBDDDEBAACAEEDACEAE;AEBABAADDECDEAAECADDBDCCCBACCDEDADBBBEBAACAEB;DCAABBACADCECBEADCEECCDACCBDEBEDEBAECAEBDEECA;1;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;120;120;100;100;120;560;H;A;F;A;3;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,1006E+11;2023;7;F;1;3;1;1;4;1;;0;;;;;;;;2402303;Caraúbas;24;RN;1;1;1;1;1223;1194;1203;1213;510.8;313.4;388.5;415.6;BBDACABCDECBAECDDEABBBCDECEEDACBADEBDACCBEABC;ECDACBCCBAECBCABDDBBEABCDCABABDABCABBCADCBEAA;CBCADEAEBCBBEEECCCCDDDABEBCEDAAADCBDECECCBEBC;EDDCDDBACBDCDBCDBCCEDACBCDEBDCCDECACCDBBEDDAC;1;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;120;120;100;120;100;560;B;B;A;A;5;A;A;B;C;B;B;B;A;A;A;A;A;A;B;A;A;D;A;B;B
2,10058E+11;2023;4;F;1;1;1;2;0;2;1;0;1501402;Belém;15;PA;2;1;1;1501402;Belém;15;PA;1;1;1;1;1222;1191;1201;1212;515.7;553.1;544.4;437;CDBAEEACEDCBCCCECEBEECADCBAADCEBDBEBEBBDCADBE;CDBDBEEDAACBBEDECADDABCDCDBAECBAEAACBEDDEBEDA;BDDABCACEEDCBEBBECDCDCAEBEEDBACBBEBEDBCBBBCAE;ECDBBBCCEDDBDEADCBEDBECCAEBBAEBBEABEDDDAADBEE;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;160;180;160;180;200;880;E;E;C;B;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;D;B;A;B
2,1006E+11;2023;11;F;1;1;1;1;10;1;;0;;;;;;;;2109452;Raposa;21;MA;1;1;1;1;1222;1191;1201;1212;435.3;515;452.8;448.2;DEDAACCEEECCBBCAACCDEEABCEECBEECEBDEEBEBCCBBE;ACCAECBEADAEAADECACBAEDACCBADCDEBABCDCCEDAEDA;ABEBCDBEAEDBEEDBAEABACBEEDEBAECCBEEEEAAEBAEAE;DAAEEBBBCABCEEDCAECBCCDCCDABCCCCDCCBBEECADBCA;1;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;120;120;120;120;0;480;B;B;B;A;3;B;A;B;B;A;A;B;A;A;A;B;A;A;B;A;A;B;A;A;A
2,10058E+11;2023;11;M;1;1;1;1;8;1;;0;;;;;;;;4113700;Londrina;41;PR;1;1;1;1;1222;1191;1201;1212;571.3;574.7;613.3;719.7;CEDBEEDCCBBDCAAADBBEEDECCADDEDCDDAECCDAAECBBB;BDADBCABDACEAADECBEAABDDDADADBAAADDABECCDBDDA;BBAABCECAEDBCDBADBDEACCEBDECBACACDAACABBBECAE;DDECEACCCEADEEDBEABBDDBDAABDCCCACCADBECEADEEB;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;120;120;120;120;80;560;G;B;D;B;2;D;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;C;A;C;B
2,10059E+11;2023;11;M;1;1;1;1;10;1;;0;;;;;;;;3162500;São João del Rei;31;MG;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;H;H;B;B;3;D;A;C;D;B;B;B;A;B;A;B;A;A;C;A;A;D;A;B;B
